STATION,STATION_NAME,DATE,HPCP
COOP:221852,COLLINS MS US,20010830 23:00,0.40
COOP:221852,COLLINS MS US,20010831 00:00,0.10
COOP:221852,COLLINS MS US,20010831 13:00,0.10
COOP:221852,COLLINS MS US,20010831 18:00,0.50
COOP:221852,COLLINS MS US,20010831 19:00,0.40
COOP:221852,COLLINS MS US,20010901 00:00,0.40
COOP:221852,COLLINS MS US,20010901 01:00,0.00
COOP:221852,COLLINS MS US,20010901 04:00,0.10
COOP:221852,COLLINS MS US,20010901 05:00,0.10
COOP:221852,COLLINS MS US,20010901 16:00,0.50
COOP:221852,COLLINS MS US,20010901 17:00,0.30
COOP:221852,COLLINS MS US,20010901 18:00,2.60
COOP:221852,COLLINS MS US,20010901 19:00,1.20
COOP:221852,COLLINS MS US,20010901 20:00,0.30
COOP:221852,COLLINS MS US,20010901 21:00,0.40
COOP:221852,COLLINS MS US,20010901 22:00,0.20
COOP:221852,COLLINS MS US,20010901 23:00,0.10
COOP:221852,COLLINS MS US,20010902 00:00,0.10
COOP:221852,COLLINS MS US,20010902 03:00,0.80
COOP:221852,COLLINS MS US,20010902 04:00,1.10
COOP:221852,COLLINS MS US,20010903 01:00,0.10
COOP:221852,COLLINS MS US,20010903 06:00,999.99
COOP:221852,COLLINS MS US,20010904 19:00,999.99
COOP:221852,COLLINS MS US,20010905 02:00,0.10
COOP:221852,COLLINS MS US,20010910 12:00,0.10
COOP:221852,COLLINS MS US,20011001 01:00,0.00
COOP:221852,COLLINS MS US,20011005 20:00,999.99
COOP:221852,COLLINS MS US,20011101 00:00,999.99
COOP:221852,COLLINS MS US,20011101 01:00,999.99
COOP:221852,COLLINS MS US,20011201 00:00,999.99
COOP:221852,COLLINS MS US,20011201 01:00,999.99
COOP:221852,COLLINS MS US,20011201 02:00,999.99
COOP:221852,COLLINS MS US,20011201 03:00,999.99
COOP:221852,COLLINS MS US,20020101 00:00,999.99
COOP:221852,COLLINS MS US,20020101 01:00,0.00
COOP:221852,COLLINS MS US,20020101 02:00,999.99
COOP:221852,COLLINS MS US,20020108 08:00,999.99
COOP:221852,COLLINS MS US,20020108 09:00,999.99
COOP:221852,COLLINS MS US,20020201 00:00,999.99
COOP:221852,COLLINS MS US,20020201 01:00,999.99
COOP:221852,COLLINS MS US,20020203 14:00,999.99
COOP:221852,COLLINS MS US,20020205 23:00,0.10
COOP:221852,COLLINS MS US,20020206 02:00,0.10
COOP:221852,COLLINS MS US,20020206 09:00,0.30
COOP:221852,COLLINS MS US,20020206 14:00,0.10
COOP:221852,COLLINS MS US,20020206 15:00,0.10
COOP:221852,COLLINS MS US,20020206 17:00,0.20
COOP:221852,COLLINS MS US,20020206 18:00,0.20
COOP:221852,COLLINS MS US,20020206 19:00,0.20
COOP:221852,COLLINS MS US,20020220 02:00,0.30
COOP:221852,COLLINS MS US,20020220 03:00,0.40
COOP:221852,COLLINS MS US,20020221 18:00,0.30
COOP:221852,COLLINS MS US,20020221 19:00,0.20
COOP:221852,COLLINS MS US,20020301 01:00,0.00
COOP:221852,COLLINS MS US,20020301 20:00,0.30
COOP:221852,COLLINS MS US,20020301 21:00,0.20
COOP:221852,COLLINS MS US,20020301 22:00,0.20
COOP:221852,COLLINS MS US,20020302 00:00,0.10
COOP:221852,COLLINS MS US,20020305 16:00,999.99
COOP:221852,COLLINS MS US,20020306 16:00,999.99
COOP:221852,COLLINS MS US,20020311 07:00,999.99
COOP:221852,COLLINS MS US,20020401 00:00,999.99
COOP:221852,COLLINS MS US,20020401 01:00,0.00
COOP:221852,COLLINS MS US,20020403 16:00,999.99
COOP:221852,COLLINS MS US,20020501 00:00,999.99
COOP:221852,COLLINS MS US,20020501 01:00,0.00
COOP:221852,COLLINS MS US,20020501 02:00,999.99
COOP:221852,COLLINS MS US,20020510 12:00,999.99
COOP:221852,COLLINS MS US,20020513 12:00,0.20
COOP:221852,COLLINS MS US,20020517 17:00,0.10
COOP:221852,COLLINS MS US,20020517 18:00,0.10
COOP:221852,COLLINS MS US,20020517 21:00,0.10
COOP:221852,COLLINS MS US,20020528 22:00,0.20
COOP:221852,COLLINS MS US,20020528 23:00,0.10
COOP:221852,COLLINS MS US,20020530 02:00,0.10
COOP:221852,COLLINS MS US,20020530 03:00,0.10
COOP:221852,COLLINS MS US,20020530 04:00,0.30
COOP:221852,COLLINS MS US,20020530 05:00,0.20
COOP:221852,COLLINS MS US,20020530 06:00,0.10
COOP:221852,COLLINS MS US,20020530 19:00,0.20
COOP:221852,COLLINS MS US,20020531 12:00,0.10
COOP:221852,COLLINS MS US,20020601 01:00,0.00
COOP:221852,COLLINS MS US,20020606 18:00,0.10
COOP:221852,COLLINS MS US,20020608 08:00,0.10
COOP:221852,COLLINS MS US,20020616 04:00,0.10
COOP:221852,COLLINS MS US,20020623 02:00,0.10
COOP:221852,COLLINS MS US,20020623 04:00,0.20
COOP:221852,COLLINS MS US,20020626 01:00,0.10
COOP:221852,COLLINS MS US,20020626 23:00,0.50
COOP:221852,COLLINS MS US,20020627 00:00,0.50
COOP:221852,COLLINS MS US,20020627 01:00,0.50
COOP:221852,COLLINS MS US,20020627 02:00,0.10
COOP:221852,COLLINS MS US,20020628 22:00,0.10
COOP:221852,COLLINS MS US,20020701 01:00,0.00
COOP:221852,COLLINS MS US,20020701 07:00,0.20
COOP:221852,COLLINS MS US,20020701 08:00,0.10
COOP:221852,COLLINS MS US,20020701 21:00,0.10
COOP:221852,COLLINS MS US,20020707 02:00,0.10
COOP:221852,COLLINS MS US,20020709 09:00,999.99
COOP:221852,COLLINS MS US,20020710 20:00,999.99
COOP:221852,COLLINS MS US,20020711 11:00,0.50
COOP:221852,COLLINS MS US,20020711 12:00,0.20
COOP:221852,COLLINS MS US,20020712 13:00,0.10
COOP:221852,COLLINS MS US,20020712 17:00,0.10
COOP:221852,COLLINS MS US,20020712 18:00,0.10
COOP:221852,COLLINS MS US,20020713 04:00,0.10
COOP:221852,COLLINS MS US,20020716 07:00,0.30
COOP:221852,COLLINS MS US,20020716 22:00,0.10
COOP:221852,COLLINS MS US,20020718 14:00,0.10
COOP:221852,COLLINS MS US,20020718 15:00,0.20
COOP:221852,COLLINS MS US,20020718 19:00,0.10
COOP:221852,COLLINS MS US,20020718 20:00,0.10
COOP:221852,COLLINS MS US,20020719 21:00,1.00
COOP:221852,COLLINS MS US,20020719 22:00,0.20
COOP:221852,COLLINS MS US,20020722 06:00,1.20
COOP:221852,COLLINS MS US,20020722 12:00,0.30
COOP:221852,COLLINS MS US,20020722 14:00,0.10
COOP:221852,COLLINS MS US,20020722 15:00,0.10
COOP:221852,COLLINS MS US,20020723 07:00,0.30
COOP:221852,COLLINS MS US,20020725 08:00,0.20
COOP:221852,COLLINS MS US,20020726 19:00,999.99
COOP:221852,COLLINS MS US,20020801 00:00,999.99
COOP:221852,COLLINS MS US,20020801 01:00,999.99
COOP:221852,COLLINS MS US,20020805 09:00,999.99
COOP:221852,COLLINS MS US,20020805 12:00,0.30
COOP:221852,COLLINS MS US,20020811 17:00,0.10
COOP:221852,COLLINS MS US,20020813 15:00,0.10
COOP:221852,COLLINS MS US,20020818 16:00,0.30
COOP:221852,COLLINS MS US,20020818 17:00,0.10
COOP:221852,COLLINS MS US,20020819 17:00,0.10
COOP:221852,COLLINS MS US,20020823 14:00,0.50
COOP:221852,COLLINS MS US,20020824 11:00,0.30
COOP:221852,COLLINS MS US,20020824 12:00,0.20
COOP:221852,COLLINS MS US,20020824 13:00,0.10
COOP:221852,COLLINS MS US,20020825 13:00,0.30
COOP:221852,COLLINS MS US,20020901 01:00,0.00
COOP:221852,COLLINS MS US,20020905 18:00,0.20
COOP:221852,COLLINS MS US,20020906 04:00,0.10
COOP:221852,COLLINS MS US,20020906 11:00,0.10
COOP:221852,COLLINS MS US,20020906 14:00,0.10
COOP:221852,COLLINS MS US,20020911 14:00,999.99
COOP:221852,COLLINS MS US,20020912 16:00,999.99
COOP:221852,COLLINS MS US,20020916 15:00,0.10
COOP:221852,COLLINS MS US,20020916 16:00,0.90
COOP:221852,COLLINS MS US,20020916 17:00,0.60
COOP:221852,COLLINS MS US,20020916 18:00,0.10
COOP:221852,COLLINS MS US,20020921 16:00,0.70
COOP:221852,COLLINS MS US,20020921 17:00,0.30
COOP:221852,COLLINS MS US,20020921 18:00,0.30
COOP:221852,COLLINS MS US,20020922 13:00,0.20
COOP:221852,COLLINS MS US,20020924 20:00,0.10
COOP:221852,COLLINS MS US,20020924 22:00,0.10
COOP:221852,COLLINS MS US,20020925 00:00,0.10
COOP:221852,COLLINS MS US,20020925 02:00,0.10
COOP:221852,COLLINS MS US,20020925 03:00,0.10
COOP:221852,COLLINS MS US,20020925 04:00,0.20
COOP:221852,COLLINS MS US,20020925 05:00,0.20
COOP:221852,COLLINS MS US,20020925 06:00,0.20
COOP:221852,COLLINS MS US,20020925 07:00,0.20
COOP:221852,COLLINS MS US,20020925 08:00,0.10
COOP:221852,COLLINS MS US,20020925 09:00,0.20
COOP:221852,COLLINS MS US,20020925 10:00,0.20
COOP:221852,COLLINS MS US,20020925 11:00,0.30
COOP:221852,COLLINS MS US,20020925 12:00,0.30
COOP:221852,COLLINS MS US,20020925 13:00,0.10
COOP:221852,COLLINS MS US,20020925 14:00,0.20
COOP:221852,COLLINS MS US,20020925 15:00,0.20
COOP:221852,COLLINS MS US,20020925 16:00,0.10
COOP:221852,COLLINS MS US,20020925 17:00,0.10
